title,subtitle,authors,link,code_link,date,purpose,principles_tested,functional_props,input_modality,output_modality,input_source,output_source,size,splits,design,judge,protocol,model_access,has_heldout,heldout_details,alignment_validation,is_valid,baseline_models,robustness_measures,known_limitations,benchmarks_list
VizWiz,"A VQA dataset from blind users with 31,000 visual questions taken by people who are blind, testing real-world accessibility scenarios.","University of Texas at Austin, Microsoft, University of Colorado Boulder",https://arxiv.org/abs/1802.08218,https://github.com/VizWiz-dev/vizwiz,2018-04-01,Research; Development; Deployment,"Accessibility, Visual question answering, Real-world robustness, Image quality handling, Unanswerable questions",Core Performance; Robustness; Fairness,Text + Vision,Text,User-generated content,Crowdsourced annotations,Medium (1K - 100K samples),"Train (20,523), Val (4,319), Test (8,000)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives real-world image from blind user and question, generates answer or indicates unanswerable, accuracy computed with human annotations",Outputs,True,"Test set labels private, evaluation via leaderboard","Real user questions from blind community, multiple annotators per question for quality",unknown,"Pythia: 46.0%, LXMERT: 51.5%, BLIP-2: 60.5%, Human performance: 91.2%",Real-world images; Poor quality handling; Unanswerable detection; Multiple annotators,Image quality highly variable; Some questions ambiguous; Annotation challenges with unclear images; Domain-specific (accessibility),"VQA v2, TextVQA, GQA, OK-VQA"
Something-Something V2,"A video dataset of 220,847 clips showing humans performing pre-defined actions with objects, requiring temporal reasoning to distinguish similar actions.",TwentyBN,https://arxiv.org/abs/1706.04261,https://github.com/TwentyBN/smth-smth-v2-baseline,2018-05-01,Research; Development,"Temporal reasoning, Action recognition, Fine-grained motion understanding, Object-action relationships",Core Performance,Video,Structured Data,New dataset (released with eval),Crowdsourced annotations,Large (100K - 1M samples),"Train (168,913), Val (24,777), Test (27,157)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives video clip of object interaction, predicts action category (174 classes), top-1 and top-5 accuracy computed",Outputs,True,Test set labels withheld for challenge,"Crowdsourced with template-based actions ensuring consistency, temporal reasoning validated",unknown,"TSN: 19.7%, TSM: 63.4%, SlowFast: 67.2%, VideoMAE: 74.8%",Template-based collection; Temporal reasoning required; Fine-grained actions; Object variation,Template constraints may limit diversity; Short clips (2-6 sec); Controlled recording environment; Label noise,"Kinetics, ActivityNet, UCF-101, Moments in Time"
TriviaQA,"A large-scale reading comprehension dataset with 95K question-answer pairs authored by trivia enthusiasts, with supporting documents from Wikipedia and web search.",University of Washington,https://arxiv.org/abs/1705.03551,https://github.com/mandarjoshi90/triviaqa,2017-05-01,Research; Development,"Reading comprehension, Open-domain QA, Evidence-based reasoning, Distant supervision",Core Performance,Text,Text,New dataset (released with eval),Crowdsourced annotations,Large (100K - 1M samples),"Train (87,622), Dev (11,313), Test (10,790)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives question and evidence documents, extracts answer span, Exact Match and F1 scores computed for Wikipedia and web domains",Outputs,False,,"Trivia questions with multiple evidence documents, distant supervision validated with answer aliases",unknown,"BiDAF: 40.3 F1, BERT: 72.5 F1, RoBERTa: 83.2 F1, T5: 85.1 F1",Multiple evidence documents; Answer aliases; Two domains (Wikipedia and Web),Distant supervision noise; Answer extraction challenges; Multiple valid answer forms; Evidence document quality varies,"SQuAD, NaturalQuestions, MS MARCO, HotpotQA"
Winograd Schema Challenge,"A commonsense reasoning test with 273 carefully crafted pronoun resolution problems requiring world knowledge, designed as an alternative to the Turing test.",University of Toronto,https://cdn.aaai.org/ocs/4492/4492-21843-1-PB.pdf,https://github.com/vnmsklnk/Winograd-Schema-Challenge,2012-01-01,Research; Development,"Commonsense reasoning, Coreference resolution, World knowledge, Causal understanding",Core Performance,Text,Text,New dataset (released with eval),Expert annotations,Small (< 1K samples),Test (273 problems),Fixed data-driven (static test set),Automatic (Reference-based),"Model resolves pronoun ambiguity in sentence pairs differing by one word that flips the answer, binary choice, accuracy computed",Outputs,False,,"Carefully constructed to require commonsense, cannot be solved by simple statistics or associations",unknown,"Random: 50%, GPT-2: 70.7%, RoBERTa: 90.1%, GPT-3: 88.3%, Human performance: ~92%",Paired examples; Commonsense requirement validation; Expert construction,Very small dataset (273 problems); Binary choice; Some problems ambiguous; Saturated with modern LLMs,"WinoGrande, COPA, CommonsenseQA, PIQA"
VGGFace2,"A large-scale face recognition dataset with 3.31 million images of 9,131 subjects with large variations in pose, age, illumination, ethnicity, and profession.",University of Oxford,https://arxiv.org/abs/1710.08092,https://github.com/ox-vgg/vgg_face2,2018-05-01,Research; Development,"Face recognition, Identity verification, Face attribute recognition, Pose variation handling",Core Performance; Robustness,Vision (Image),Structured Data,New dataset (released with eval),Programmatically generated,Huge (> 10M samples),"Train (3.31M images, 9,131 identities)",Fixed data-driven (static test set),Automatic (Reference-based),"Model performs face recognition or verification, accuracy and verification metrics computed on evaluation sets",Outputs,False,,"Automated collection with manual verification, pose and age variation validated",unknown,"ResNet-50: 96.0% verification, SENet-50: 97.3%, ArcFace: 99.8%",Large pose variation; Age variation; Ethnicity diversity; Profession diversity,Celebrity bias; Ethical concerns with face recognition; Some identity label noise; Imbalanced distribution,"LFW, CelebA, MS-Celeb-1M, IJB-C"
iNaturalist,"A large-scale fine-grained species classification dataset with millions of images across thousands of species, collected from citizen scientists.","Caltech, Google, Cornell",https://arxiv.org/abs/1707.06642,https://github.com/visipedia/inat_comp,2017-01-01,Research; Development,"Fine-grained recognition, Species classification, Long-tail learning, Real-world classification",Core Performance; Robustness,Vision (Image),Structured Data,User-generated content,Expert annotations,Huge (> 10M samples),"Train, Val, Test (varies by year, typically 500K+ training images)",Fixed data-driven (static test set),Automatic (Reference-based),"Model classifies species from image (10,000+ categories in recent versions), top-1 and top-3 accuracy computed",Outputs,False,,"Expert taxonomist validation, citizen scientist observations verified",unknown,"ResNet-50: 55-65% top-1 (varies by year), EfficientNet: 75-80%, ViT-L: 80-85%",Long-tail distribution; Real-world images; Expert validation; Large category count,Extreme class imbalance; Location bias; Seasonal bias; Image quality variation; Taxonomic changes over time,"FGVC Aircraft, CUB-200, Stanford Cars, NABirds"
StoryCloze,A commonsense reasoning framework for evaluating story understanding with four-sentence stories and two alternative endings.,University of Rochester,https://arxiv.org/abs/1604.01696,https://github.com/snigdhac/StoryComprehension_EMNLP,2016-04-01,Research; Development,"Story understanding, Commonsense reasoning, Narrative coherence, Causal reasoning",Core Performance,Text,Text,New dataset (released with eval),Crowdsourced annotations,Medium (1K - 100K samples),"Val (1,871), Test (1,871)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives four-sentence story context, selects correct ending from two choices, accuracy computed",Outputs,False,,"Crowdsourced stories with right and wrong endings, coherence validated",unknown,"DSSM: 58.5%, GPT: 86.5%, BERT: 90.4%, RoBERTa: 91.8%, Human performance: 100%",Binary choice validation; Coherence requirement; Human baseline,Binary choice limiting; Saturated with modern models; Some endings debatable; Small test set,"HellaSwag, COPA, WinoGrande, LAMBADA"
ImageNet-C,A robustness benchmark with 15 corruption types applied to ImageNet validation images to test model resilience to common image perturbations.,UC Berkeley,https://arxiv.org/abs/1903.12261,https://github.com/hendrycks/robustness,2019-03-01,Research; Development,"Robustness to corruptions, Out-of-distribution generalization, Perturbation resilience",Robustness,Vision (Image),Structured Data,ImageNet,Programmatically generated,Medium (1K - 100K samples),"50,000 validation images with 15 corruption types at 5 severity levels",Fixed data-driven (static test set),Automatic (Reference-based),"Model classifies corrupted images, mean Corruption Error (mCE) computed across corruption types and severities",Outputs,False,,"Systematic corruption application with human-verified realism, severity levels calibrated",unknown,"ResNet-50: 76.7 mCE, ResNet-152: 68.2 mCE, EfficientNet-B7: 42.5 mCE, ViT-L: 38.7 mCE",15 corruption types; 5 severity levels; Systematic perturbation testing,Limited corruption types; Severity calibration subjective; May not reflect real-world distribution shifts; Clean accuracy correlation,"ImageNet-A, ImageNet-R, ImageNet-Sketch, CIFAR-10-C"
DocVQA,"A VQA dataset for document understanding with 50,000 questions on 12,000 document images requiring reading and reasoning about text, tables, and layouts.","CVIT, IIIT Hyderabad, India",https://arxiv.org/abs/2007.00398,https://github.com/doc-analysis/DocVQA,2020-07-01,Research; Development; Deployment,"Document understanding, Visual question answering, OCR reasoning, Layout understanding, Table reasoning",Core Performance,Text + Vision,Text,New dataset (released with eval),Crowdsourced annotations,Medium (1K - 100K samples),"Train (39,463), Val (5,349), Test (5,188)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives document image and question, generates answer requiring document understanding, ANLS metric computed",Outputs,True,Test set labels private for challenge,"Crowdsourced questions on real documents, answer verification through multiple annotations",unknown,"T5: 33.6 ANLS, LayoutLM: 36.4 ANLS, Donut: 67.5 ANLS, GPT-4V: 88.4 ANLS",Real document diversity; Complex layouts; Multiple question types; ANLS metric for fuzzy matching,OCR dependency; Document type bias; Complex layout challenges; Answer extraction ambiguity,"TextVQA, ST-VQA, InfographicVQA, ChartQA"
YouTube-VOS,"A large-scale video object segmentation dataset with 4,453 YouTube videos and 94 object categories with pixel-level annotations.","Adobe Research",https://arxiv.org/abs/1809.03327,https://youtube-vos.org/,2018-09-01,Research; Development,"Video object segmentation, Temporal consistency, Object tracking, Multi-object segmentation",Core Performance,Video,Structured Data,New dataset (released with eval),Human annotations,Medium (1K - 100K samples),"Train (3,471 videos), Val (474 videos), Test (508 videos)",Fixed data-driven (static test set),Automatic (Reference-based),"Model segments objects in video given first-frame annotations, J (region similarity) and F (contour accuracy) metrics computed",Outputs,True,Test set labels private for challenge,"Pixel-level manual annotations with quality control, temporal consistency verified",unknown,"OSMN: 51.2 J&F, STM: 79.4 J&F, AOT: 84.1 J&F, XMem: 87.7 J&F",Large object vocabulary; Temporal consistency testing; Multi-object scenarios; Occlusion handling,Annotation cost limits coverage; YouTube video bias; Some categories underrepresented; First-frame dependency,"DAVIS, OVIS, MOSE, VIPSeg"
Objects365,"A large-scale object detection dataset with 2 million images and 365 object categories, designed to improve detection across diverse objects.",Megvii,https://openaccess.thecvf.com/content_ICCV_2019/papers/Shao_Objects365_A_Large-Scale_High-Quality_Dataset_for_Object_Detection_ICCV_2019_paper.pdf,https://www.objects365.org/download.html,2019-09-01,Research; Development,"Object detection, Large-scale recognition, Category diversity, Multi-scale detection",Core Performance,Vision (Image),Structured Data,New dataset (released with eval),Human annotations,Huge (> 10M samples),"Train (1.7M images), Val (80K images)",Fixed data-driven (static test set),Automatic (Reference-based),"Model detects objects and assigns categories (365 classes), mAP at IoU 0.5 computed",Outputs,False,,"Professional annotation with multi-stage quality control, category taxonomy validated",unknown,"Faster R-CNN: 20.8 mAP, Cascade R-CNN: 25.6 mAP, DINO: 63.3 mAP",365 diverse categories; Large-scale dataset; Multiple object scales,Annotation consistency challenges at scale; Category imbalance; Some categories overlap; Quality variation,"COCO, LVIS, Open Images, V3Det"
PoseTrack,"A large-scale video-based pose estimation and tracking dataset with 550 videos containing 23,000 frames annotated with human pose and tracking IDs.","University of Bonn",https://arxiv.org/abs/1710.10000,https://github.com/anDoer/PoseTrack21,2017-01-01,Research; Development,"Multi-person pose estimation, Pose tracking, Temporal consistency, Video understanding",Core Performance,Video,Structured Data,New dataset (released with eval),Human annotations,Medium (1K - 100K samples),"Train (292 videos), Val (50 videos), Test (208 videos)",Fixed data-driven (static test set),Automatic (Reference-based),"Model estimates poses and tracks identities across video frames, mAP for detection and MOTA for tracking computed",Outputs,True,Test set labels private for challenge,"Manual pose annotation with tracking IDs, temporal consistency validated across frames",unknown,"OpenPose: 55.2 mAP, HRNet: 74.3 mAP, DCPose: 78.1 mAP",Temporal consistency; Multi-person scenarios; Tracking evaluation; Video-based challenges,Limited to 15 keypoints; Annotation effort intensive; Some frames have occlusion; Video quality varies,"COCO Keypoints, MPII Human Pose, Human3.6M, CrowdPose"
Moments in Time,A large-scale dataset with 1 million labeled 3-second videos covering 339 action and activity classes for event recognition.,MIT-IBM Watson AI Lab,https://arxiv.org/abs/1801.03150,https://github.com/metalbubble/moments_models,2017-01-01,Research; Development,"Event recognition, Action classification, Temporal understanding, Diverse activity recognition",Core Performance,Video,Structured Data,New dataset (released with eval),Human annotations,Huge (> 10M samples),"Train (800K), Val (33K), Test (67K)",Fixed data-driven (static test set),Automatic (Reference-based),"Model classifies 3-second video clip into one of 339 event categories, top-1 and top-5 accuracy computed",Outputs,False,,"Crowdsourced with quality control, event categories validated for diversity and clarity",unknown,"ResNet-50 (2D): 26.9%, I3D: 33.4%, Multi-Moments: 40.0%",339 diverse categories; Large-scale dataset; Short clips focus on events,Short 3-second clips may miss context; Some categories overlap; Dataset bias toward common events,"Kinetics, ActivityNet, Something-Something, UCF-101"
EMNIST (Extended MNIST),"An extended MNIST dataset with 814,255 characters including digits and letters (uppercase and lowercase) for handwritten character recognition.","The MARCS Institute for Brain, Behaviour and Development",https://arxiv.org/abs/1702.05373,https://github.com/pytorch/vision,2017-02-01,Research; Development,"Handwritten character recognition, Digit recognition, Letter recognition, Balanced classification",Core Performance,Vision (Image),Structured Data,New dataset (released with eval),Human annotations,Large (100K - 1M samples),"Multiple splits (ByClass, ByMerge, Balanced, Letters, Digits, MNIST)",Fixed data-driven (static test set),Automatic (Reference-based),"Model classifies 28x28 grayscale character images, accuracy computed for various splits (10 digits, 26 letters, 47 balanced, 62 classes)",Outputs,False,,Based on NIST Special Database with verified character labels,unknown,"CNN: 85-99% (varies by split), ResNet: 90-99%, ViT: 92-99%",Multiple dataset splits; Balanced and unbalanced versions; Character diversity,Low resolution (28x28); Grayscale only; Limited to English characters; Handwriting style variation limited,"MNIST, Fashion-MNIST, Kuzushiji-MNIST, QMNIST"
SUN397 (Scene Understanding),"A scene categorization benchmark with 108,754 images across 397 scene categories covering diverse indoor and outdoor environments.",MIT,https://faculty.cc.gatech.edu/~hays/papers/sun.pdf,https://3dvision.princeton.edu/projects/2010/SUN/,2010-01-01,Research; Development,"Scene recognition, Scene categorization, Environmental understanding, Context recognition",Core Performance,Vision (Image),Structured Data,New dataset (released with eval),Human annotations,Large (100K - 1M samples),10 pre-defined train/test splits,Fixed data-driven (static test set),Automatic (Reference-based),"Model classifies scene into one of 397 categories, accuracy computed across multiple splits",Outputs,False,,"Manual scene categorization with taxonomy validation, multi-annotator agreement",unknown,"AlexNet: 51.3%, VGG-16: 59.4%, ResNet-152: 68.5%, Places-CNN: 73.5%",397 diverse categories; Multiple evaluation splits; Indoor and outdoor scenes,Some category overlap; Unbalanced distribution; Scene definition ambiguity; Approaching saturation,"Places365, MIT Indoor 67, Scene-15, ADE20K"
CrowdPose,"A challenging multi-person pose estimation dataset with 20,000 images containing crowded scenes with occlusions and close interactions.","Shanghai Jiao Tong University",https://arxiv.org/abs/1812.00324,https://github.com/Jeff-sjtu/CrowdPose,2019-01-01,Research; Development,"Multi-person pose estimation, Crowded scene understanding, Occlusion handling, Dense pose estimation",Core Performance; Robustness,Vision (Image),Structured Data,New dataset (released with eval),Human annotations,Medium (1K - 100K samples),"Train (10,000), Val (2,000), Test (8,000)",Fixed data-driven (static test set),Automatic (Reference-based),"Model estimates 14 keypoints per person in crowded scenes, AP computed at multiple IoU thresholds",Outputs,False,,"Manual annotation with focus on crowded scenarios, occlusion levels validated",unknown,"Mask R-CNN: 57.3 AP, HRNet: 67.6 AP, HigherHRNet: 69.9 AP",Crowded scenarios; Occlusion levels measured; Close interactions; Multiple difficulty levels,Limited to 14 keypoints; Annotation challenges in extreme crowding; Some keypoints not visible,"COCO Keypoints, MPII Human Pose, OCHuman, PoseTrack"
Stanford Cars,"A fine-grained car classification dataset with 16,185 images of 196 car classes at the level of make, model, and year.",Stanford University,https://ai.stanford.edu/~jkrause/papers/fgvc13.pdf,https://huggingface.co/datasets/tanganke/stanford_cars,2013-01-01,Research; Development,"Fine-grained classification, Vehicle recognition, Subordinate categorization, Visual discrimination",Core Performance,Vision (Image),Structured Data,New dataset (released with eval),Expert annotations,Medium (1K - 100K samples),"Train (8,144), Test (8,041)",Fixed data-driven (static test set),Automatic (Reference-based),"Model classifies car into one of 196 classes (make, model, year), accuracy computed",Outputs,False,,Expert annotation of car makes and models with year verification,unknown,"ResNet-50: 92.2%, Bilinear CNN: 91.3%, TransFG: 94.8%, ViT-L: 95.3%",Fine-grained distinctions; Expert validation; Viewpoint variation,Dataset no longer maintained; Limited viewpoint diversity; Bias toward certain makes; Approaching saturation,"FGVC Aircraft, CUB-200-2011, Stanford Dogs, CompCars"
Conceptual Captions,A large-scale image captioning dataset with 3.3 million image-caption pairs automatically harvested from the web with alt-text.,Google Research,https://aclanthology.org/P18-1238.pdf,https://github.com/google-research-datasets/conceptual-captions,2018-05-01,Research; Development,"Image captioning, Visual-language learning, Web-scale learning, Zero-shot transfer",Core Performance,Vision (Image),Text,New dataset (released with eval),Programmatically generated,Huge (> 10M samples),"Train (3.3M), Val (15K)",Fixed data-driven (static test set),Automatic (Reference-based),"Model generates caption for image, BLEU, METEOR, CIDEr, SPICE metrics computed",Outputs,False,,"Automatic extraction from alt-text with filtering pipeline, quality sampling validated",unknown,Baseline models trained on CC show strong transfer to COCO and other datasets,Large-scale diversity; Web-based collection; Filtering pipeline for quality,Alt-text noise; Caption quality varies; Some captions not descriptive; Automated collection biases,"COCO Captions, Flickr30k, SBU Captions, Conceptual 12M"
NewsQA,"A reading comprehension dataset with 120K questions on 12K CNN news articles, requiring reasoning over long documents.","Microsoft Research, Maluuba",https://arxiv.org/abs/1611.09830,https://github.com/Maluuba/newsqa,2017-04-01,Research; Development,"Reading comprehension, Long document understanding, Question answering, News article reasoning",Core Performance,Text,Text,New dataset (released with eval),Crowdsourced annotations,Large (100K - 1M samples),"Train (92,549), Dev (5,166), Test (5,126)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives news article and question, extracts answer span, F1 and EM computed",Outputs,False,,"Crowdsourced questions with multiple answer validations, answer span verification",unknown,"BERT-large: 69.1 F1, RoBERTa: 73.8 F1, Human performance: 69.4 F1",Long documents; Multiple annotators; News domain diversity,Answer ambiguity in some cases; News article bias; Span extraction challenges; Approaching saturation,"SQuAD, NaturalQuestions, TriviaQA, RACE"
Caltech-101,"An object recognition dataset with 9,146 images across 101 object categories plus background, widely used for few-shot learning evaluation.",California Institute of Technology,https://authors.library.caltech.edu/7694/,https://github.com/pytorch/vision,2003-09-01,Research; Development,"Object recognition, Few-shot learning, Transfer learning, Zero-shot learning",Core Performance; Meta-Learning,Vision (Image),Structured Data,New dataset (released with eval),Human annotations,Medium (1K - 100K samples),"Typically 30 train per class, rest for test",Fixed data-driven (static test set),Automatic (Reference-based),"Model classifies objects into 101 categories, accuracy computed with few-shot setting (typically 30 shots)",Outputs,False,,"Manual annotation with category validation, few-shot protocol standardized",unknown,"ResNet-50: 92%, ViT: 95%, CLIP: 93%",Few-shot evaluation; Multiple evaluation protocols,Small dataset size; Category imbalance; Some categories have few examples; Saturated with modern methods,"Caltech-256, CIFAR-10, ImageNet, FGVC"
CUB-200-2011 (Caltech-UCSD Birds),"A fine-grained bird species classification dataset with 11,788 images of 200 bird species, including part annotations and attributes.","Caltech, UC San Diego",https://authors.library.caltech.edu/27452/,https://github.com/visipedia/cub,2011-06-01,Research; Development,"Fine-grained recognition, Bird species classification, Part-based recognition, Attribute learning",Core Performance,Vision (Image),Structured Data,New dataset (released with eval),Expert annotations,Medium (1K - 100K samples),"Train (5,994), Test (5,794)",Fixed data-driven (static test set),Automatic (Reference-based),"Model classifies bird species from image, accuracy computed with optional part/attribute annotations",Outputs,False,,"Expert ornithologist annotations, part locations and attributes verified",unknown,"ResNet-50: 84%, Bilinear CNN: 85%, TransFG: 91.7%, ViT-L: 91%",Fine-grained evaluation; Part annotations for analysis,Limited to North American birds; Pose variation challenges; Background clutter; Approaching saturation,"FGVC Aircraft, Stanford Cars, Stanford Dogs, NABirds, iNaturalist"
Oxford-IIIT Pets,"A pet breed classification dataset with 37 categories of cats and dogs, containing 7,349 images with pixel-level segmentation masks.",University of Oxford,https://ieeexplore.ieee.org/document/6248092,https://github.com/pytorch/vision,2012-06-01,Research; Development,"Fine-grained recognition, Pet breed classification, Segmentation, Species classification",Core Performance,Vision (Image),Structured Data,New dataset (released with eval),Human annotations,Medium (1K - 100K samples),"Train (3,680), Test (3,669)",Fixed data-driven (static test set),Automatic (Reference-based),"Model classifies pet breed (37 classes), accuracy computed for classification and segmentation tasks",Outputs,False,,Expert breed identification with segmentation masks validated,unknown,"ResNet-50: 93%, ViT: 96%, Fine-tuned models: 97%+",Fine-grained breed distinction; Segmentation quality validation,Limited to 37 breeds; Pose variation; Background complexity; Approaching saturation,"Stanford Dogs, CUB-200, FGVC, iNaturalist"
Oxford Flowers-102,"A flower species classification dataset with 102 flower categories, containing 8,189 images with large variations in scale, pose, and light.",University of Oxford,https://www.robots.ox.ac.uk/~vgg/publications/2008/Nilsback08/,https://github.com/pytorch/vision,2008-01-01,Research; Development,"Fine-grained classification, Flower recognition, Species classification, Visual discrimination",Core Performance,Vision (Image),Structured Data,New dataset (released with eval),Expert annotations,Medium (1K - 100K samples),"Train (1,020), Val (1,020), Test (6,149)",Fixed data-driven (static test set),Automatic (Reference-based),"Model classifies flower species (102 classes), accuracy computed on test set",Outputs,False,,Expert botanist annotations with species verification,unknown,"ResNet-50: 89%, ViT: 99.1%, Fine-tuned models: 99.5%+",Scale variation; Pose variation; Lighting variation,Small training set; High test/train ratio; Limited to UK flowers; Saturated with modern methods,"CUB-200, FGVC, iNaturalist, PlantCLEF"
Food-101,"A food recognition dataset with 101,000 images across 101 food categories from Foodspotting.com, featuring realistic user-captured images.",ETH Zurich,https://data.vision.ee.ethz.ch/cvl/datasets_extra/food-101/,https://github.com/pytorch/vision,2014-01-01,Research; Development; Deployment,"Food recognition, Fine-grained classification, Real-world image understanding",Core Performance,Vision (Image),Structured Data,User-generated content,Human annotations,Large (100K - 1M samples),"Train (75,750), Test (25,250)",Fixed data-driven (static test set),Automatic (Reference-based),"Model classifies food dish (101 classes), top-1 accuracy computed",Outputs,False,,"Crowdsourced from food images with verification, noisy labels intentionally included",unknown,"ResNet-50: 83%, EfficientNet: 90%, ViT-L: 92%",Real-world noise; User-generated images; Label noise tolerance,Label noise (up to 20%); Cultural bias (mostly Western food); Intra-class variation high,"Recipe1M, Food-101N, ISIA Food-500, UEC Food-256"
DTD (Describable Textures Dataset),"A texture classification dataset with 5,640 images across 47 texture categories, each described by human-understandable attributes.",University of Oxford,https://ieeexplore.ieee.org/document/6909856,https://github.com/pytorch/vision,2014-04-01,Research; Development,"Texture recognition, Material classification, Perceptual attributes, Fine-grained texture",Core Performance,Vision (Image),Structured Data,New dataset (released with eval),Human annotations,Medium (1K - 100K samples),10 pre-defined train/val/test splits,Fixed data-driven (static test set),Automatic (Reference-based),"Model classifies texture into 47 categories, accuracy computed across splits",Outputs,False,,"Human-describable attributes validated, perceptual consistency verified",unknown,"ResNet-50: 73%, ViT: 79%, CLIP: 77%",10 evaluation splits; Perceptual attribute grounding,Small dataset; Some categories overlap; Attribute subjectivity; Context dependency,"FMD, MINC, KTH-TIPS, CUReT"
EuroSAT,"A satellite image classification dataset with 27,000 labeled images across 10 land use and land cover classes from Sentinel-2 satellite.",German Research Center for Artificial Intelligence,https://arxiv.org/abs/1709.00029,https://github.com/phelber/eurosat,2019-01-01,Research; Development; Deployment,"Land use classification, Satellite image analysis, Remote sensing, Earth observation",Core Performance,Vision (Image),Structured Data,New dataset (released with eval),Expert annotations,Medium (1K - 100K samples),"10 land use classes, 2,000-3,000 images each",Fixed data-driven (static test set),Automatic (Reference-based),"Model classifies land use type (10 classes), accuracy computed",Outputs,False,,"Expert remote sensing annotations, ground truth validated with maps",unknown,"ResNet-50: 98%, ViT: 99%, Domain-adapted models: 99%+",Multi-spectral data; Geographic diversity; Seasonal variation,Limited to Europe; 10 broad categories; Seasonal bias; Approaching saturation,"UCMerced, AID, RESISC45, PatternNet"
RESISC45,"A remote sensing image scene classification dataset with 31,500 images across 45 scene classes from Google Earth.",Northwestern Polytechnical University,https://arxiv.org/abs/1703.00121,https://github.com/pytorch/vision,2017-03-01,Research; Development,"Scene classification, Remote sensing, Aerial image understanding, Land use recognition",Core Performance,Vision (Image),Structured Data,New dataset (released with eval),Expert annotations,Medium (1K - 100K samples),45 classes with 700 images each,Fixed data-driven (static test set),Automatic (Reference-based),"Model classifies aerial scene (45 classes), accuracy computed with various train/test splits",Outputs,False,,"Expert annotation with remote sensing knowledge, geographic diversity validated",unknown,"ResNet-50: 92%, ViT: 95%, Attention models: 96%",Geographic diversity; Scale variation; Multiple viewpoints,Fixed spatial resolution; Google Earth bias; Some class overlap; Intra-class variation,"UCMerced, AID, EuroSAT, PatternNet"
SVHN (Street View House Numbers),"A digit recognition dataset with 600,000+ labeled digits from Google Street View images, designed as a more challenging MNIST alternative.",Stanford University,http://ufldl.stanford.edu/housenumbers/nips2011_housenumbers.pdf,https://github.com/pytorch/vision,2011-01-01,Research; Development,"Digit recognition, Character recognition, Real-world OCR, Multi-digit recognition",Core Performance; Robustness,Vision (Image),Structured Data,New dataset (released with eval),Human annotations,Large (100K - 1M samples),"Train (73,257), Test (26,032), Extra (531,131)",Fixed data-driven (static test set),Automatic (Reference-based),"Model classifies digits (10 classes) from cropped images, accuracy computed",Outputs,False,,"Automated detection with human verification, bounding boxes validated",unknown,"CNN: 95%, ResNet: 98%, ViT: 98.5%",Real-world variation; Multiple fonts; Lighting variation; Perspective distortion,Limited to digits; Format-specific (house numbers); Cropping artifacts; Approaching saturation,"MNIST, EMNIST, USPS, MNIST-M"
STL-10,An image recognition dataset inspired by CIFAR-10 with higher resolution (96x96) images and only 500 labeled training images per class for unsupervised learning.,Stanford University,http://ai.stanford.edu/~acoates/papers/coatesleeng_aistats_2011.pdf,https://github.com/pytorch/vision,2011-04-01,Research; Development,"Unsupervised learning, Semi-supervised learning, Self-supervised learning, Transfer learning",Core Performance; Meta-Learning,Vision (Image),Structured Data,New dataset (released with eval),Human annotations,Large (100K - 1M samples),"Train (5,000 labeled, 100,000 unlabeled), Test (8,000)",Fixed data-driven (static test set),Automatic (Reference-based),"Model classifies images (10 classes) with limited labels, leveraging unlabeled data, accuracy computed",Full,False,,"Subset of ImageNet with manual verification, unsupervised protocol standardized",unknown,"Supervised ResNet: 78%, Self-supervised SimCLR: 91%, MoCo v2: 92%",Limited labeled data; Large unlabeled set; Self-supervised evaluation,Small labeled set; Limited to 10 classes; Derived from ImageNet; Saturation with self-supervised methods,"CIFAR-10, ImageNet, CIFAR-100, Tiny ImageNet"
Country211,"A country recognition dataset with 211 countries, designed to test geographic diversity recognition in vision models using OpenAI CLIP.",OpenAI,https://github.com/openai/CLIP/blob/main/data/country211.md,https://github.com/openai/CLIP,2021-02-26,Research; Development,"Geographic recognition, Country classification, Geographic diversity, Zero-shot transfer",Core Performance; Fairness,Vision (Image),Structured Data,New dataset (released with eval),Programmatically generated,Large (100K - 1M samples),Test set for evaluation,Fixed data-driven (static test set),Automatic (Reference-based),"Model classifies images by country (211 classes), accuracy computed for geographic recognition",Outputs,False,,"Geotag-based collection with verification, geographic distribution validated",unknown,"CLIP ViT-B/32: 26%, CLIP ViT-L/14: 34%, Fine-tuned models: 50%+",211 countries; Geographic diversity; Zero-shot evaluation,Geographic bias in image availability; Urban/landmark bias; Some countries underrepresented; Ambiguous images,"Dollar Street, GeoDE, ImageNet geographic subsets"
